ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 6, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 6, 18, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 6, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 6, 17, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 6, 20, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 6, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 6, 19, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 6, 20, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 6, 17, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 6, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 6, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 6, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
